label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe14_feed;pipe;['network losses'];[None];[-567.0301884002083];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-567.0301884002083;False;False;0.9670234639302087;False;False;61513650.42583049;False;False;0.036;True;False;76.69419795525604;True;False;0.00069;True;False;7.291367744886321;True;False;0x000001DE0F227668;False;m;0;True;-1.5849288867005842;False;2.0758930565630913;False;0.4909641698625071;False;default;default;default
pipe16_feed;pipe;['network losses'];[None];[-563.219504141383];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-563.219504141383;False;False;0.9992213975996161;False;False;18217005.13003769;False;False;0.036;True;False;21.93171219946131;True;False;0.00069;True;False;7.291367744886339;True;False;0x000001DE0F227710;False;m;0;True;-1.6071869925900681;False;2.061942171485935;False;0.4547551788958668;False;default;default;default
pipe17_feed;pipe;['network losses'];[None];[-511.73033259082035];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-511.73033259082035;False;False;0.9910070639262739;False;False;210346499.78296652;False;False;0.0217;True;False;16.97056274847714;True;False;0.00069;True;False;6.6924252618774345;True;False;0x000001DE0F2276D8;False;m;0;True;-1.4614290178396792;False;1.873440719717446;False;0.4120117018777669;False;default;default;default
pipe2_back;pipe;['network losses'];[None];[-449.0433864383135];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-449.0433864383135;False;False;0.9963181371048434;False;False;710220.5240780432;False;False;0.0697;True;False;30.14962686336267;True;False;0.00069;True;False;8.52252729329439;True;False;0x000001DE0F2275F8;False;m;0;True;-1.3693355087292565;False;1.643944303270414;False;0.2746087945411575;False;default;default;default
pipe3_back;pipe;['network losses'];[None];[-449.57770186559003];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-449.57770186559003;False;False;0.9859706811963023;False;False;2744643.903157394;False;False;0.0697;True;False;116.51609330903607;True;False;0.00069;True;False;8.522527293294456;True;False;0x000001DE0F227198;False;m;0;True;-1.3455676934054894;False;1.6459004278440055;False;0.30033273443851605;False;default;default;default
pipe7_back;pipe;['network losses'];[None];[-389.2751814104165];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-389.2751814104165;False;False;0.8695491938837943;False;False;111005226.35143834;False;False;0.036;True;False;137.59360450253493;True;False;0.00069;True;False;7.291367744886168;True;False;0x000001DE0F2275C0;False;m;0;True;-1.1337484721972717;False;1.4251333751067785;False;0.2913849029095068;False;default;default;default
pipe6_back;pipe;['network losses'];[None];[-388.15447714657586];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-388.15447714657586;False;False;0.9825211257344703;False;False;12934001.463303113;False;False;0.036;True;False;16.0312195418814;True;False;0.00069;True;False;7.291367744886106;True;False;0x000001DE0F227588;False;m;0;True;-1.182449720771167;False;1.4210304856180702;False;0.23858076484690316;False;default;default;default
pipe19_back;pipe;['network losses'];[None];[-405.2209086009377];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-405.2209086009377;False;False;0.9807329170484556;False;False;9479483.102316795;False;False;0.0419;True;False;26.68332812825267;True;False;0.00069;True;False;7.674025442366199;True;False;0x000001DE0F2279B0;False;m;0;True;-1.2153936805902814;False;1.483510556840336;False;0.26811687625005454;False;default;default;default
pipe18_back;pipe;['network losses'];[None];[-404.5227844385917];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-404.5227844385917;False;False;0.9860114965994016;False;False;6750067.434108881;False;False;0.0419;True;False;19.0;True;False;0.00069;True;False;7.674025442365963;True;False;0x000001DE0F227978;False;m;0;True;-1.2215959022808447;False;1.4809547297770154;False;0.2593588274961707;False;default;default;default
pipe8_back;pipe;['network losses'];[None];[-390.39744531444273];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-390.39744531444273;False;False;0.9759770955944255;False;False;20943729.576377787;False;False;0.036;True;False;25.96150997149434;True;False;0.00069;True;False;7.291367744886111;True;False;0x000001DE0F227908;False;m;0;True;-1.1839893017859453;False;1.42924197442593;False;0.24525267263998463;False;default;default;default
