id;type;x;y;extrapolate
0x00000209D11EFBA8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFC50;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFC88;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFD30;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFDA0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFD68;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFCC0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFCF8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFDD8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFE80;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFE10;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFE48;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFA20;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFA90;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFAC8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFA58;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFEB8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFEF0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFF28;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFF98;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFFD0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EFF60;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EF940;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EF978;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EF9B0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D11EF908;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209CF113908;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209CF1130F0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D0AA3E10;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D0AA3FD0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D0AA3F60;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D0AA3F28;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000209D0A40320;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x00000209D0A40048;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x00000209D0A40198;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x00000209D0A40B38;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
