id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x00000209D1033CC0;K23_valve_0;out1;K23_merge;in1;[];[];nan;False;False;K23_valve_0:out1_K23_merge:in1;0.06451698978044051;kg / s;False;0.06451698978044051;False;nan;nan;nan;False;4.954249824993192;bar;False;4.954249824993192;False;nan;nan;nan;False;225.07289812736616;kJ / kg;False;225.07289812736616;False;nan;nan;nan;False;53.66289883463509;C;False;53.66289883463509;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.539943378871238e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1037278;K23_valve_1;out1;K23_merge;in2;[];[];nan;False;False;K23_valve_1:out1_K23_merge:in2;0.6963983186893677;kg / s;False;0.6963983186893677;False;nan;nan;nan;False;4.954249824993192;bar;False;4.954249824993192;False;nan;nan;nan;False;219.77326240728965;kJ / kg;False;219.77326240728965;False;nan;nan;nan;False;52.395461409184975;C;False;52.395461409184975;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0007054957975243626;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1037BE0;K25_valve_0;out1;K25_merge;in1;[];[];nan;False;False;K25_valve_0:out1_K25_merge:in1;0.055050310012799454;kg / s;False;0.055050310012799454;False;nan;nan;nan;False;4.89937770865132;bar;False;4.89937770865132;False;nan;nan;nan;False;224.11257750495204;kJ / kg;False;224.11257750495204;False;nan;nan;nan;False;53.434363624973855;C;False;53.434363624973855;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;5.5797265908125754e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D103C198;K25_valve_1;out1;K25_merge;in2;[];[];nan;False;False;K25_valve_1:out1_K25_merge:in2;0.6413480086765684;kg / s;False;0.6413480086765684;False;nan;nan;nan;False;4.89937770865132;bar;False;4.89937770865132;False;nan;nan;nan;False;219.99723762173983;kJ / kg;False;219.99723762173983;False;nan;nan;nan;False;52.450153142850695;C;False;52.450153142850695;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0006497447529739301;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D103CB00;K27_valve_0;out1;K27_merge;in1;[];[];nan;False;False;K27_valve_0:out1_K27_merge:in1;0.06530820537922655;kg / s;False;0.06530820537922655;False;nan;nan;nan;False;4.774292340928504;bar;False;4.774292340928504;False;nan;nan;nan;False;225.4368291037759;kJ / kg;False;225.4368291037759;False;nan;nan;nan;False;53.75360406700486;C;False;53.75360406700486;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.620489615563755e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D10410B8;K27_valve_1;out1;K27_merge;in2;[];[];nan;False;False;K27_valve_1:out1_K27_merge:in2;0.5760398032973418;kg / s;False;0.5760398032973418;False;nan;nan;nan;False;4.774292340928504;bar;False;4.774292340928504;False;nan;nan;nan;False;220.04537424385296;kJ / kg;False;220.04537424385296;False;nan;nan;nan;False;52.46422844673708;C;False;52.46422844673708;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0005835886312027962;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1041A20;K29_valve_0;out1;K29_merge;in1;[];[];nan;False;False;K29_valve_0:out1_K29_merge:in1;0.045894196541574686;kg / s;False;0.045894196541574686;False;nan;nan;nan;False;4.757190042923176;bar;False;4.757190042923176;False;nan;nan;nan;False;222.8084237130331;kJ / kg;False;222.8084237130331;False;nan;nan;nan;False;53.12538289127809;C;False;53.12538289127809;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.6510313630100284e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1041F98;K29_valve_1;out1;K29_merge;in2;[];[];nan;False;False;K29_valve_1:out1_K29_merge:in2;0.5301456067557672;kg / s;False;0.5301456067557672;False;nan;nan;nan;False;4.757190042923176;bar;False;4.757190042923176;False;nan;nan;nan;False;220.52885422607676;kJ / kg;False;220.52885422607676;False;nan;nan;nan;False;52.58020919103416;C;False;52.58020919103416;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0005371229850843653;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1045940;K31_valve_0;out1;K31_merge;in1;[];[];nan;False;False;K31_valve_0:out1_K31_merge:in1;0.030757134257976857;kg / s;False;0.030757134257976857;False;nan;nan;nan;False;4.723122318697517;bar;False;4.723122318697517;False;nan;nan;nan;False;219.378764224383;kJ / kg;False;219.378764224383;False;nan;nan;nan;False;52.30584713983279;C;False;52.30584713983279;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.115792927031516e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1045EB8;K31_valve_1;out1;K31_merge;in2;[];[];nan;False;False;K31_valve_1:out1_K31_merge:in2;0.4993884724977902;kg / s;False;0.4993884724977902;False;nan;nan;nan;False;4.723122318697517;bar;False;4.723122318697517;False;nan;nan;nan;False;221.34074314011156;kJ / kg;False;221.34074314011156;False;nan;nan;nan;False;52.775077712718485;C;False;52.775077712718485;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0005060087230279927;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D104A860;K33_valve_0;out1;K33_merge;in1;[];[];nan;False;False;K33_valve_0:out1_K33_merge:in1;0.0679459119604245;kg / s;False;0.0679459119604245;False;nan;nan;nan;False;4.715868056783449;bar;False;4.715868056783449;False;nan;nan;nan;False;225.06833852042743;kJ / kg;False;225.06833852042743;False;nan;nan;nan;False;53.6666762351922;C;False;53.6666762351922;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;6.887610699684754e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D104ADD8;K33_valve_1;out1;K33_merge;in2;[];[];nan;False;False;K33_valve_1:out1_K33_merge:in2;0.4314425605373658;kg / s;False;0.4314425605373658;False;nan;nan;nan;False;4.715868056783449;bar;False;4.715868056783449;False;nan;nan;nan;False;221.61471092119444;kJ / kg;False;221.61471092119444;False;nan;nan;nan;False;52.84074745168908;C;False;52.84074745168908;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0004371758958211099;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1050780;K35_valve_0;out1;K35_merge;in1;[];[];nan;False;False;K35_valve_0:out1_K35_merge:in1;0.04726757702855093;kg / s;False;0.04726757702855093;False;nan;nan;nan;False;4.583399212702181;bar;False;4.583399212702181;False;nan;nan;nan;False;223.2528979585067;kJ / kg;False;223.2528979585067;False;nan;nan;nan;False;53.23523200907857;C;False;53.23523200907857;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;4.7905020558301355e-05;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x00000209D1050CF8;K35_valve_1;out1;K35_merge;in2;[];[];nan;False;False;K35_valve_1:out1_K35_merge:in2;0.38417498350881485;kg / s;False;0.38417498350881485;False;nan;nan;nan;False;4.583399212702181;bar;False;4.583399212702181;False;nan;nan;nan;False;222.3067630926906;kJ / kg;False;222.3067630926906;False;nan;nan;nan;False;53.00896477193038;C;False;53.00896477193038;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0003893137357206812;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
